Year,Site code,Site name,Nation,Number of cases,"Surgery on day of, or day after, admission (n)","Surgery on day of, or day after, admission (d)","Surgery on day of, or day after, admission (%)",Surgery supervised by consultant surgeon and anaesthetist (n),Surgery supervised by consultant surgeon and anaesthetist (d),Surgery supervised by consultant surgeon and anaesthetist (%),General anaesthetic (n),General anaesthetic (d),General anaesthetic (%),General anaesthetic and nerve block (of all GA)(n),General anaesthetic and nerve block (of all GA) (d),General anaesthetic and nerve block (of all GA) (%),Spinal anaesthetic (n),Spinal anaesthetic (d),Spinal anaesthetic (%),Spinal anaesthetic and nerve block (of all SA) (n),Spinal anaesthetic and nerve block (of all SA) (d),Spinal anaesthetic and nerve block (of all SA) (%),Proportion of arthroplasties which are cemented (n),Proportion of arthroplasties which are cemented (d),Proportion of arthroplasties which are cemented (%),Eligible displaced intracapsular fractures treated with THR (n),Eligible displaced intracapsular fractures treated with THR (d),Eligible displaced intracapsular fractures treated with THR (%),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (n),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (d),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (%),Subtrochanteric fractures treated with an IM nail (n),Subtrochanteric fractures treated with an IM nail (d),Subtrochanteric fractures treated with an IM nail (%),Admitted to orthopaedic ward within 4 hours with a nerve block (n),Admitted to orthopaedic ward within 4 hours with a nerve block (d),Admitted to orthopaedic ward within 4 hours with a nerve block (%),Admitted to orthopaedic ward within 4 hours (n),Admitted to orthopaedic ward within 4 hours (d),Admitted to orthopaedic ward within 4 hours (%),NICE compliant surgery (n),NICE compliant surgery (d),NICE compliant surgery (%),Mental test score recorded on admission (n),Mental test score recorded on admission (d),Mental test score recorded on admission (%),Perioperative medical assessment (n),Perioperative medical assessment (d),Perioperative medical assessment (%),Physiotherapy assessment by the day after surgery (n),Physiotherapy assessment by the day after surgery (d),Physiotherapy assessment by the day after surgery (%),Mobilised out of bed by the day after surgery (n),Mobilised out of bed by the day after surgery (d),Mobilised out of bed by the day after surgery (%),Nutritional risk assessment (n),Nutritional risk assessment (d),Nutritional risk assessment (%),Delirium assessment (n),Delirium assessment (d),Delirium assessment (%),Not delirious when tested post-op. (n),Not delirious when tested post-op. (d),Not delirious when tested post-op. (%),Received falls assessment (n),Received falls assessment (d),Received falls assessment (%),Received bone health assessment (n),Received bone health assessment (d),Received bone health assessment (%),Received suitable bone medication (n),Received suitable bone medication (d),Received suitable bone medication (%),Met best practice criteria (n),Met best practice criteria (d),Met best practice criteria (%),Case ascertainment: total cases compared to last year (n),Case ascertainment: total cases compared to last year (d),Case ascertainment: total cases compared to last year (%),Acute length of stay (days),Overall hospital length of stay (days),Documented final discharge destination (n),Documented final discharge destination (d),Documented final discharge destination (%),Discharge to original residence within 120 days (n),Discharge to original residence within 120 days (d),Discharge to original residence within 120 days (%),Hip fractures which were sustained as an inpatient (n),Hip fractures which were sustained as an inpatient (d),Hip fractures which were sustained as an inpatient (%),Documented not to have developed a pressure ulcer (n),Documented not to have developed a pressure ulcer (d),Documented not to have developed a pressure ulcer (%),Documented not to have had a reoperation within 120 days (n),Documented not to have had a reoperation within 120 days (d),Documented not to have had a reoperation within 120 days (%),120 day follow up (n),120 day follow up (d),120 day follow up (%),Crude 30 day mortality rate (n),Crude 30 day mortality rate (d),Crude 30 day mortality rate (%),Adjusted 30 day mortality rate (%)
2024,ADD,Addenbrooke's Hospital,England,535,289,521,56,449,521,86,424,521,81,380,424,90,88,521,17,64,88,73,284,285,100,20,138,15,128,175,73,20,24,83,93,511,18,117,511,23,344,520,66,518,535,97,525,535,98,510,521,98,489,521,94,535,535,100,517,521,99,462,521,89,530,535,99,528,535,99,411,535,77,279,521,54,535,506,106,17,17,510,535,95,425,535,79,21,535,4,531,535,99,0,535,0,411,497,83,34,535,6,5
2024,AEI,Royal Albert Edward Infirmary,England,357,217,353,62,331,353,94,104,353,30,7,104,7,258,353,73,44,258,17,192,194,99,13,70,19,25,33,76,16,18,89,10,346,3,18,346,5,279,352,79,352,357,99,335,357,94,349,353,99,290,353,82,344,357,96,347,353,98,273,353,77,353,357,99,353,357,99,267,357,75,194,353,55,357,368,97,16,23,345,357,97,280,357,78,10,357,3,303,357,85,191,357,54,270,326,83,21,357,6,5
2024,AIR,Airedale General Hospital,England,298,234,293,80,139,293,47,148,293,51,132,148,89,155,293,53,115,155,74,150,150,100,7,58,12,82,83,99,24,25,96,23,290,8,25,290,9,240,291,83,292,298,98,143,298,48,291,293,99,217,293,74,298,298,100,292,293,100,198,293,68,204,298,69,284,298,95,243,298,82,106,293,36,298,284,105,16,17,288,298,97,237,298,80,8,298,3,297,298,100,0,298,0,227,275,83,30,298,10,10
2024,BAR,Barnsley District General Hospital,England,321,234,313,75,146,313,47,196,313,63,127,196,65,125,313,40,82,125,66,177,178,99,10,53,19,71,89,80,15,20,75,121,306,40,138,306,45,239,311,77,307,321,96,305,321,95,305,313,97,238,313,76,310,321,97,303,313,97,213,313,68,313,321,98,318,321,99,183,321,57,213,313,68,321,354,91,13,18,317,321,99,274,321,85,14,321,4,297,321,93,192,321,60,239,295,81,30,321,9,8
2024,BAS,Basildon Hospital,England,460,264,453,58,272,453,60,147,453,33,70,147,48,331,453,73,155,331,47,167,221,76,35,66,53,69,98,70,23,23,100,61,452,14,73,452,16,333,447,75,443,460,96,433,460,94,444,453,98,413,453,91,460,460,100,441,453,97,326,453,72,457,460,99,455,460,99,299,460,65,243,453,54,460,397,116,15,15,433,460,94,372,460,81,6,460,1,448,460,97,193,460,42,189,433,44,35,460,8,7
2024,BAT,Royal United Hospital Bath,England,591,340,574,59,231,574,40,196,574,34,146,196,75,375,574,65,330,375,88,327,327,100,24,144,17,110,144,76,15,23,65,201,571,35,210,571,37,404,572,71,557,591,94,579,591,98,552,574,96,498,574,87,571,591,97,546,574,95,418,574,73,580,591,98,571,591,97,482,591,82,306,574,53,591,578,102,15,15,565,591,96,454,591,77,16,591,3,561,591,95,452,591,77,401,561,72,30,591,5,4
2024,BED,Bedford Hospital,England,302,136,289,47,132,289,46,233,289,81,187,233,80,57,289,20,0,57,0,127,138,92,13,63,21,24,46,52,24,24,100,6,297,2,6,297,2,202,286,71,282,302,93,274,302,91,284,289,98,184,289,64,300,302,99,266,289,92,208,289,72,289,302,96,285,302,94,168,302,56,117,289,41,302,311,97,19,25,301,302,100,261,302,86,*,300,*,236,302,78,0,302,0,119,268,44,32,302,11,9
2024,BFH,Broomfield Chelmsford,England,524,326,524,62,173,524,33,435,524,83,125,435,29,95,524,18,7,95,7,257,258,100,17,109,16,47,108,44,29,30,97,9,499,2,13,499,3,356,523,68,508,524,97,486,524,93,514,524,98,416,524,79,521,524,99,507,524,97,419,524,80,518,524,99,522,524,100,148,524,28,296,524,57,524,540,97,15,15,481,524,92,409,524,78,15,524,3,53,524,10,412,524,79,196,498,39,31,524,6,6
2024,BLA,Royal Blackburn Hospital,England,542,176,526,34,486,526,92,78,526,15,46,78,59,465,526,88,265,465,57,274,283,97,44,133,33,12,14,86,30,34,88,7,520,1,8,520,2,410,524,78,523,542,97,441,542,81,523,526,99,509,526,97,541,542,100,515,526,98,348,526,66,538,542,99,536,542,99,273,542,50,148,526,28,542,532,102,13,25,537,542,99,495,542,91,9,542,2,538,542,99,0,542,0,320,520,62,34,542,6,6
2024,BNT,Barnet General Hospital,England,310,199,307,65,182,307,59,173,307,56,11,173,6,138,307,45,*,140,*,165,165,100,18,66,27,39,39,100,29,30,97,*,300,*,8,304,3,261,306,85,304,310,98,280,310,90,304,307,99,230,307,75,308,310,99,304,307,99,235,307,77,308,310,99,306,310,99,113,310,37,179,307,58,310,339,91,19,19,227,310,73,181,310,58,*,315,*,310,310,100,0,310,0,78,277,28,24,310,8,7
2024,BOL,Royal Bolton Hospital,England,407,148,403,37,306,403,76,160,403,40,43,160,27,247,403,61,141,247,57,226,226,100,20,77,26,80,95,84,55,59,93,16,394,4,16,394,4,328,402,82,384,407,94,304,407,75,393,403,98,350,403,87,394,407,97,368,403,91,217,403,54,381,407,94,387,407,95,170,407,42,102,403,25,407,442,92,19,25,393,407,97,334,407,82,*,410,*,395,407,97,272,407,67,155,370,42,26,407,6,4
2024,BRD,Bradford Royal Infirmary,England,344,247,338,73,319,338,94,212,338,63,204,212,96,126,338,37,107,126,85,198,199,100,11,64,17,78,93,84,18,20,90,16,326,5,16,326,5,257,326,79,302,344,88,320,344,93,308,338,91,251,338,74,344,344,100,295,338,87,208,338,62,327,344,95,323,344,94,199,344,58,188,338,56,344,317,109,15,24,341,344,99,299,344,87,13,344,4,320,344,93,279,344,81,248,321,77,21,344,6,6
2024,BRG,Bronglais General Hospital,Wales,157,29,140,21,62,140,44,64,140,46,62,64,97,79,140,56,73,79,92,78,78,100,19,34,56,53,57,93,*,10,*,24,147,16,26,147,18,122,140,87,138,157,88,157,157,100,136,140,97,109,140,78,157,157,100,138,140,99,133,140,95,156,157,99,155,157,99,64,157,41,29,140,21,157,119,132,23,25,149,157,95,117,157,75,10,157,6,150,157,96,122,157,78,125,143,87,7,157,4,4
2024,BRI,Bristol Royal Infirmary,England,306,108,299,36,253,299,85,277,299,93,272,277,98,27,299,9,26,27,96,142,142,100,16,50,32,43,74,58,19,19,100,12,294,4,12,294,4,238,299,80,297,306,97,300,306,98,295,299,99,276,299,92,306,306,100,296,299,99,250,299,84,300,306,98,300,306,98,182,306,60,106,299,36,306,300,102,17,18,289,306,94,229,306,75,9,306,3,298,306,97,291,306,95,204,281,73,22,306,7,7
2024,BRO,Princess Royal University Hospital (Bromley),England,369,204,365,56,320,365,88,70,365,19,36,70,51,298,365,82,39,298,13,201,203,99,17,76,22,44,93,47,19,19,100,*,355,*,*,355,*,257,362,71,345,369,94,346,369,94,349,365,96,281,365,77,367,369,100,342,365,94,180,365,49,366,369,99,365,369,99,273,369,74,176,365,48,369,371,100,21,21,274,369,74,209,369,57,9,369,2,359,369,97,0,369,0,0,353,0,9,369,2,3
2024,BRT,Queens Hospital,England,320,144,320,45,132,320,41,77,320,24,70,77,91,246,320,77,222,246,90,166,174,95,12,58,21,61,70,87,17,17,100,11,316,4,17,316,5,247,309,80,291,320,91,271,320,85,317,320,99,255,320,80,319,320,100,290,320,91,223,320,70,317,320,99,315,320,98,290,320,91,106,320,33,320,354,90,15,19,312,320,98,277,320,87,*,325,*,320,320,100,78,320,24,0,307,0,12,320,4,3
2024,CGH,Conquest Hospital,England,680,522,667,78,389,667,58,86,667,13,38,86,44,584,667,88,140,584,24,404,407,99,14,170,8,51,78,65,28,31,90,18,657,3,23,657,4,459,665,69,660,680,97,669,680,98,632,667,95,495,667,74,672,680,99,659,667,99,531,667,80,672,680,99,669,680,98,189,680,28,480,667,72,680,663,103,20,24,633,680,93,495,680,73,12,680,2,599,680,88,312,680,46,296,613,48,48,680,7,6
2024,CHE,Chesterfield Royal,England,470,273,467,59,51,467,11,206,467,44,143,206,69,273,467,59,159,273,58,237,239,99,27,104,26,97,104,93,22,22,100,131,461,28,153,461,33,363,466,78,464,470,99,433,470,92,466,467,100,430,467,92,467,470,99,463,467,99,354,467,76,467,470,99,465,470,99,238,470,51,249,467,53,470,480,98,12,12,445,470,95,396,470,84,8,470,2,466,470,99,294,470,63,237,447,53,29,470,6,5
2024,CLW,Glan Clwyd Hospital,Wales,386,190,364,52,364,364,100,230,364,63,212,230,92,140,364,39,106,140,76,180,185,97,21,80,26,83,94,88,*,*,*,*,375,*,*,375,*,293,363,81,366,386,95,373,386,97,348,364,96,228,364,63,386,386,100,359,364,99,293,364,81,385,386,100,384,386,100,231,386,60,177,364,49,386,377,102,19,34,383,386,99,300,386,78,6,386,2,385,386,100,172,386,45,134,333,40,26,386,7,4
2024,CMI,Cumberland Infirmary,England,517,252,501,50,498,501,99,187,501,37,156,187,83,321,501,64,275,321,86,286,286,100,*,125,*,58,59,98,23,26,89,10,343,3,14,343,4,371,496,75,467,517,90,486,517,94,496,501,99,475,501,95,510,517,99,466,501,93,349,501,70,509,517,99,489,517,95,105,517,20,220,501,44,517,553,94,13,24,478,517,93,376,517,73,19,517,4,507,517,98,110,517,21,64,474,14,27,517,5,5
2024,COC,Countess of Chester Hospital,England,369,308,357,86,331,357,93,206,357,58,173,206,84,150,357,42,95,150,63,200,200,100,25,86,29,109,115,95,23,26,89,*,355,*,*,355,*,298,357,84,358,369,97,359,369,97,356,357,100,318,357,89,355,369,96,355,357,99,253,357,71,366,369,99,364,369,99,203,369,55,297,357,83,369,385,96,17,25,348,369,94,274,369,74,12,369,3,353,369,96,238,369,65,180,327,55,27,369,7,7
2024,COL,Colchester General Hospital,England,615,372,601,62,377,601,63,450,601,75,287,450,64,153,601,26,79,153,52,332,350,95,30,117,26,34,54,63,41,41,100,21,595,4,35,595,6,471,601,78,596,615,97,608,615,99,590,601,98,508,601,85,585,615,95,594,601,99,461,601,77,603,615,98,608,615,99,233,615,38,359,601,60,615,642,96,15,16,587,615,95,512,615,83,14,615,2,574,615,93,494,615,80,358,576,62,43,615,7,6
2024,DAR,Darlington Memorial Hospital,England,411,264,401,66,253,401,63,104,401,26,96,104,92,296,401,74,273,296,92,245,247,99,18,85,21,68,75,91,19,24,79,14,398,4,14,398,4,319,399,80,399,411,97,375,411,91,394,401,98,333,401,83,409,411,100,395,401,99,265,401,66,405,411,99,405,411,99,200,411,49,243,401,61,411,393,105,9,18,371,411,90,278,411,68,11,411,3,407,411,99,225,411,55,180,384,47,31,411,8,5
2024,DER,Royal Derby Hospital,England,620,374,619,60,418,619,68,48,619,8,32,48,67,574,619,93,405,574,71,326,339,96,20,113,18,119,169,70,36,36,100,18,601,3,22,601,4,455,611,75,601,620,97,519,620,84,608,619,98,436,619,70,578,620,93,597,619,96,444,619,72,619,620,100,618,620,100,459,620,74,290,619,47,620,662,94,17,20,486,620,78,392,620,63,16,620,3,615,620,99,151,620,24,0,578,0,28,620,5,4
2024,DID,Doncaster Royal Infirmary,England,567,314,560,56,538,560,96,140,560,25,54,140,39,427,560,76,178,427,42,267,283,94,13,142,9,*,10,*,13,21,62,*,485,*,7,486,1,299,525,57,488,567,86,50,567,9,549,560,98,410,560,73,517,567,91,460,560,82,372,560,66,59,567,10,381,567,67,123,567,22,19,560,3,567,546,104,18,22,554,567,98,483,567,85,*,565,*,566,567,100,0,567,0,279,519,54,27,567,5,3
2024,DRY,University Hospital of North Durham,England,416,244,397,62,237,397,60,290,397,73,218,290,75,109,397,28,81,109,74,204,205,100,20,68,29,60,67,90,34,40,85,37,400,9,41,400,10,333,397,84,397,416,95,383,416,92,388,397,98,326,397,82,415,416,100,392,397,99,316,397,80,412,416,99,394,416,95,218,416,52,210,397,53,416,428,97,10,19,402,416,97,309,416,74,13,416,3,413,416,99,205,416,49,217,389,56,23,416,6,4
2024,DVH,Darent Valley Hospital,England,263,169,262,65,131,262,50,138,262,53,56,138,41,133,262,51,49,133,37,147,156,94,18,69,26,35,49,71,11,20,55,7,259,3,9,259,4,174,262,66,263,263,100,246,263,94,262,262,100,214,262,82,263,263,100,263,262,100,202,262,77,263,263,100,263,263,100,83,263,32,162,262,62,263,298,88,17,17,232,263,88,197,263,75,*,265,*,263,263,100,0,263,0,0,247,0,13,263,5,6
2024,EAL,Ealing Hospital,England,178,107,171,63,166,171,97,149,171,87,135,149,91,24,171,14,21,24,88,77,77,100,*,40,*,62,66,94,19,20,95,0,173,0,*,175,*,136,171,80,171,178,96,177,178,99,171,171,100,167,171,98,178,178,100,171,171,100,135,171,79,178,178,100,178,178,100,160,178,90,107,171,63,178,183,97,16,17,149,178,84,124,178,70,*,180,*,178,178,100,155,178,87,106,170,62,7,178,4,3
2024,EBH,Birmingham Heartlands Hospital,England,1180,719,1146,63,1146,1146,100,635,1146,55,348,635,55,625,1146,55,137,625,22,483,544,89,78,243,32,170,315,54,25,25,100,7,1131,1,16,1131,1,760,1145,66,1151,1180,98,1142,1180,97,1142,1146,100,976,1146,85,1180,1180,100,1142,1146,100,767,1146,67,1177,1180,100,1166,1180,99,636,1180,54,709,1146,62,1180,1212,97,10,17,979,1180,83,753,1180,64,26,1180,2,1107,1180,94,*,1185,*,0,1080,0,86,1180,7,8
2024,ENH,East and North Herts Hospital,England,433,336,426,79,193,426,45,112,426,26,91,112,81,313,426,74,210,313,67,232,242,96,19,116,16,71,77,92,28,29,97,*,420,*,7,421,2,309,424,73,416,433,96,429,433,99,313,426,74,355,426,83,433,433,100,415,426,97,313,426,74,430,433,99,426,433,98,225,433,52,244,426,57,433,459,94,13,13,403,433,93,336,433,78,8,433,2,431,433,100,231,433,53,224,412,54,23,433,5,6
2024,ESU,East Surrey Hospital,England,554,251,546,46,16,546,3,362,546,66,195,362,54,198,546,36,53,198,27,275,282,98,22,110,20,67,123,55,*,10,*,28,539,5,92,539,17,364,540,67,544,554,98,548,554,99,544,546,100,449,546,82,546,554,99,535,546,98,446,546,82,550,554,99,544,554,98,287,554,52,243,546,45,554,499,111,17,20,463,554,84,346,554,63,13,554,2,383,554,69,235,554,42,214,505,42,40,554,7,6
2024,FAZ,University Hospital Aintree,England,839,508,809,63,501,809,62,787,809,97,519,787,66,27,809,3,*,30,*,430,435,99,28,148,19,140,225,62,68,69,99,40,799,5,52,799,7,586,790,74,762,839,91,752,839,90,806,809,100,602,809,74,836,839,100,753,809,93,605,809,75,835,839,100,825,839,98,539,839,64,438,809,54,839,848,99,17,21,611,839,73,480,839,57,30,839,4,831,839,99,446,839,53,0,767,0,41,839,5,5
2024,FGH,Furness General,England,163,93,163,57,66,163,41,58,163,36,0,58,0,105,163,64,0,105,0,47,76,62,14,38,37,34,39,87,18,19,95,54,153,35,69,153,45,104,162,64,161,163,99,159,163,98,158,163,97,111,163,68,158,163,97,161,163,99,124,163,76,163,163,100,162,163,99,117,163,72,81,163,50,163,158,103,19,27,150,163,92,115,163,71,7,163,4,142,163,87,*,165,*,0,151,0,8,163,5,8
2024,FRM,Frimley Park Hospital,England,489,343,478,72,267,478,56,117,478,25,89,117,76,387,478,81,296,387,77,241,246,98,25,89,28,38,73,52,10,12,83,14,464,3,15,464,3,371,478,78,475,489,97,455,489,93,473,478,99,353,478,74,483,489,99,475,478,99,373,478,78,488,489,100,484,489,99,244,489,50,317,478,66,489,468,105,19,31,480,489,98,377,489,77,23,489,5,474,489,97,265,489,54,251,445,56,26,489,5,5
2024,FRY,Southmead Hospital,England,611,398,598,67,469,598,78,557,598,93,499,557,90,40,598,7,27,40,68,323,329,98,20,116,17,134,202,66,36,43,84,60,580,10,63,580,11,420,597,70,599,611,98,558,611,91,594,598,99,533,598,89,610,611,100,595,598,100,441,598,74,607,611,99,606,611,99,359,611,59,368,598,62,611,609,100,18,18,556,611,91,427,611,70,21,611,3,606,611,99,412,611,67,335,568,59,32,611,5,4
2024,GEO,St George's Hospital,England,184,146,181,81,174,181,96,143,181,79,106,143,74,38,181,21,19,38,50,102,103,99,8,41,20,22,47,47,13,14,93,*,180,*,*,180,*,117,179,65,176,184,96,179,184,97,176,181,97,124,181,69,184,184,100,176,181,97,119,181,66,180,184,98,180,184,98,133,184,72,136,181,75,184,209,88,19,27,168,184,91,137,184,75,9,184,5,155,184,84,23,184,13,0,170,0,7,184,4,3
2024,GGH,"Diana, Princess of Wales Hospital",England,278,192,276,70,276,276,100,197,276,71,22,197,11,82,276,30,*,80,*,146,154,95,23,59,39,6,10,60,6,10,60,9,275,3,11,275,4,213,275,78,276,278,99,220,278,79,273,276,99,197,276,71,278,278,100,275,276,100,235,276,85,269,278,97,268,278,96,210,278,76,151,276,55,278,288,97,12,12,244,278,88,181,278,65,*,280,*,245,278,88,167,278,60,51,265,19,17,278,6,5
2024,GLO,Gloucestershire Royal Hospital,England,828,414,818,51,193,818,24,720,818,88,713,720,99,100,818,12,95,100,95,462,462,100,52,159,33,111,236,47,56,58,97,96,803,12,99,803,12,584,817,72,813,828,98,823,828,99,813,818,99,750,818,92,828,828,100,811,818,99,638,818,78,820,828,99,821,828,99,570,828,69,412,818,50,828,829,100,16,16,751,828,91,646,828,78,25,828,3,804,828,97,736,828,89,395,780,51,51,828,6,5
2024,GWE,The Grange University Hospital,Wales,751,454,734,62,290,734,40,330,734,45,315,330,96,406,734,55,386,406,95,353,362,98,34,183,19,64,101,63,17,21,81,48,711,7,52,711,7,534,734,73,739,751,98,716,751,95,721,734,98,504,734,69,749,751,100,731,734,100,595,734,81,736,751,98,738,751,98,594,751,79,429,734,58,751,811,93,6,37,736,751,98,597,751,80,32,751,4,720,751,96,590,751,79,555,645,86,30,751,4,3
2024,GWH,"Queen Elizabeth Hospital, Woolwich",England,312,194,311,62,306,311,98,201,311,65,189,201,94,114,311,37,105,114,92,161,164,98,*,80,*,44,86,51,16,16,100,*,295,*,*,295,*,178,311,57,311,312,100,303,312,97,311,311,100,300,311,97,307,312,98,309,311,99,253,311,81,312,312,100,312,312,100,298,312,96,191,311,61,312,305,102,16,16,298,312,96,269,312,86,10,312,3,308,312,99,8,312,3,245,301,81,13,312,4,5
2024,GWY,Ysbyty Gwynedd Hospital,Wales,347,260,342,76,314,342,92,272,342,80,108,272,40,73,342,21,12,73,16,140,143,98,*,120,*,58,67,87,15,20,75,7,333,2,8,333,2,207,342,61,343,347,99,237,347,68,341,342,100,335,342,98,324,347,93,340,342,99,303,342,89,336,347,97,338,347,97,190,347,55,181,342,53,347,352,99,18,33,330,347,95,275,347,79,*,345,*,336,347,97,332,347,96,239,302,79,19,347,5,5
2024,HAR,Harrogate District Hospital,England,303,260,299,87,115,299,39,198,299,66,149,198,75,109,299,37,73,109,67,186,189,98,19,69,28,54,60,90,15,15,100,35,293,12,50,293,17,240,299,80,296,303,98,297,303,98,298,299,100,263,299,88,303,303,100,295,299,99,177,299,59,302,303,100,302,303,100,132,303,44,254,299,85,303,285,106,14,18,292,303,96,228,303,75,9,303,3,287,303,95,264,303,87,209,290,72,14,303,5,3
2024,HCH,County Hospital Hereford,England,440,241,416,58,184,416,44,387,416,93,7,387,2,33,416,8,0,33,0,216,224,96,17,156,11,126,127,99,14,14,100,6,424,1,12,424,3,275,415,66,418,440,95,439,440,100,416,416,100,416,416,100,440,440,100,416,416,100,327,416,79,440,440,100,440,440,100,84,440,19,241,416,58,440,419,105,13,19,420,440,96,333,440,76,9,440,2,439,440,100,0,440,0,227,398,57,33,440,8,9
2024,HIL,Hillingdon Hospital,England,219,179,219,82,205,219,94,91,219,42,0,91,0,138,219,63,0,138,0,97,117,83,10,66,15,21,26,81,7,9,78,27,210,13,39,210,19,146,219,67,219,219,100,211,219,96,218,219,100,196,219,90,219,219,100,219,219,100,186,219,85,218,219,100,218,219,100,177,219,81,177,219,81,219,203,108,12,16,210,219,96,184,219,84,7,219,3,215,219,98,0,219,0,152,205,74,14,219,6,8
2024,HOM,Homerton Hospital,England,84,62,82,76,*,80,*,51,82,62,24,51,47,32,82,39,15,32,47,42,44,96,*,10,*,*,*,*,*,*,*,0,79,0,0,79,0,69,82,84,82,84,98,83,84,99,79,82,96,48,82,59,84,84,100,82,82,100,64,82,78,84,84,100,84,84,100,11,84,13,60,82,73,84,102,82,20,20,78,84,93,69,84,82,*,85,*,60,84,71,24,84,29,0,79,0,*,85,*,5
2024,HOR,Horton General Hospital,England,372,325,370,88,323,370,87,300,370,81,285,300,95,80,370,22,53,80,66,218,218,100,17,76,22,98,98,100,7,7,100,46,284,16,51,284,18,311,369,84,368,372,99,370,372,100,368,370,100,282,370,76,372,372,100,368,370,100,282,370,76,372,372,100,369,372,99,328,372,88,323,370,87,372,297,125,14,16,333,372,90,288,372,77,*,370,*,362,372,97,364,372,98,49,356,14,20,372,5,4
2024,HRI,Hull Royal Infirmary,England,654,294,639,46,355,639,56,175,639,27,82,175,47,471,639,74,191,471,41,365,373,98,37,115,32,128,169,76,31,32,97,53,633,8,70,633,11,508,635,80,625,654,96,623,654,95,630,639,99,609,639,95,654,654,100,621,639,97,464,639,73,644,654,99,640,654,98,382,654,58,282,639,44,654,686,95,16,16,618,654,95,514,654,79,18,654,3,544,654,83,543,654,83,498,598,83,53,654,8,7
2024,HUD,Huddersfield Royal Infirmary,England,503,307,487,63,110,487,23,203,487,42,160,203,79,293,487,60,263,293,90,261,270,97,11,139,8,6,12,50,19,25,76,8,488,2,9,488,2,338,487,69,489,503,97,450,503,90,483,487,99,436,487,90,494,503,98,486,487,100,362,487,74,483,503,96,481,503,96,138,503,27,270,487,55,503,544,93,19,20,472,503,94,420,503,84,12,503,2,492,503,98,0,503,0,86,480,18,20,503,4,5
2024,IOW,"St Mary's Hospital, Newport",England,271,124,256,48,41,256,16,92,256,36,27,92,29,178,256,70,47,178,26,150,156,96,0,7,0,72,83,87,13,16,81,40,267,15,83,267,31,149,168,89,24,271,9,6,271,2,191,256,75,141,256,55,227,271,84,0,256,0,0,256,0,217,271,80,27,271,10,0,271,0,0,256,0,271,227,119,15,16,176,271,65,167,271,62,*,270,*,245,271,90,*,270,*,0,265,0,6,271,2,2
2024,IPS,The Ipswich Hospital,England,494,234,477,49,461,477,97,401,477,84,315,401,79,93,477,20,22,93,24,281,282,100,*,135,*,95,106,90,36,43,84,51,476,11,53,476,11,322,474,68,479,494,97,474,494,96,475,477,100,392,477,82,467,494,95,473,477,99,296,477,62,488,494,99,486,494,98,253,494,51,216,477,45,494,500,99,13,21,473,494,96,406,494,82,13,494,3,490,494,99,474,494,96,294,461,64,34,494,7,6
2024,JPH,James Paget Hospital,England,432,289,426,68,74,426,17,204,426,48,167,204,82,228,426,54,112,228,49,209,239,87,15,89,17,71,92,77,22,23,96,62,422,15,64,422,15,301,424,71,424,432,98,421,432,98,422,426,99,351,426,82,430,432,100,422,426,99,341,426,80,428,432,99,427,432,99,255,432,59,285,426,67,432,441,98,17,21,413,432,96,355,432,82,10,432,2,413,432,96,218,432,51,222,402,55,16,432,4,3
2024,KCH,King's College Hospital,England,126,45,123,37,120,123,98,88,123,72,41,88,47,42,123,34,10,42,24,51,52,98,*,25,*,18,37,49,10,11,91,*,115,*,*,115,*,82,123,67,122,126,97,115,126,91,120,123,98,82,123,67,106,126,84,122,123,99,76,123,62,126,126,100,126,126,100,72,126,57,35,123,29,126,105,120,28,29,120,126,95,100,126,79,8,126,6,112,126,89,104,126,83,103,120,86,*,125,*,1
2024,KGH,Kettering General Hospital,England,440,269,425,63,51,425,12,261,425,61,42,261,16,181,425,43,26,181,14,254,258,98,*,100,*,37,45,82,20,22,91,54,423,13,62,423,15,314,422,74,426,440,97,384,440,87,422,425,99,362,425,85,438,440,100,420,425,99,340,425,80,429,440,98,409,440,93,83,440,19,235,425,55,440,346,127,17,18,389,440,88,297,440,68,15,440,3,399,440,91,425,440,97,0,399,0,35,440,8,9
2024,KMH,Kings Mill Hospital,England,554,226,533,42,74,533,14,343,533,64,44,343,13,332,533,62,31,332,9,291,294,99,20,98,20,83,115,72,24,27,89,56,534,11,62,534,12,407,521,78,480,554,87,510,554,92,527,533,99,449,533,84,553,554,100,395,533,74,331,533,62,543,554,98,537,554,97,404,554,73,179,533,34,554,627,88,14,19,550,554,99,465,554,84,15,554,3,544,554,98,0,554,0,0,520,0,36,554,7,6
2024,KTH,Kingston Hospital,England,329,198,318,62,187,318,59,210,318,66,18,210,9,117,318,37,6,117,5,177,177,100,12,79,15,60,63,95,23,23,100,17,320,5,19,320,6,250,317,79,315,329,96,311,329,95,312,318,98,248,318,78,329,329,100,315,318,99,229,318,72,326,329,99,325,329,99,223,329,68,189,318,59,329,352,94,17,19,294,329,89,248,329,75,7,329,2,329,329,100,*,330,*,49,308,16,16,329,5,5
